"n_subject","n_source","n_time_point","simulation","subject","source","cor","wlik","amari","time_cost"
5,3,256,"1","subject 1","1",0.998249027237354,1088.94494437023,0.143780920562333,13.3046487081713
5,3,256,"1","subject 1","2",0.969136959258411,1088.94494437023,0.143780920562333,13.3046487081713
5,3,256,"1","subject 1","3",0.94375500686656,1088.94494437023,0.143780920562333,13.3046487081713
5,3,256,"1","subject 2","1",0.997825589379721,1088.94494437023,0.143780920562333,13.3046487081713
5,3,256,"1","subject 2","2",0.964218785763332,1088.94494437023,0.143780920562333,13.3046487081713
5,3,256,"1","subject 2","3",0.915273804074159,1088.94494437023,0.143780920562333,13.3046487081713
5,3,256,"1","subject 3","1",0.998389934767681,1088.94494437023,0.143780920562333,13.3046487081713
5,3,256,"1","subject 3","2",0.965481231403067,1088.94494437023,0.143780920562333,13.3046487081713
5,3,256,"1","subject 3","3",0.95284032387274,1088.94494437023,0.143780920562333,13.3046487081713
5,3,256,"1","subject 4","1",0.999010786221103,1088.94494437023,0.143780920562333,13.3046487081713
5,3,256,"1","subject 4","2",0.965476939803158,1088.94494437023,0.143780920562333,13.3046487081713
5,3,256,"1","subject 4","3",0.918269340810254,1088.94494437023,0.143780920562333,13.3046487081713
5,3,256,"1","subject 5","1",0.997819151979858,1088.94494437023,0.143780920562333,13.3046487081713
5,3,256,"1","subject 5","2",0.986393482490272,1088.94494437023,0.143780920562333,13.3046487081713
5,3,256,"1","subject 5","3",0.941145714122225,1088.94494437023,0.143780920562333,13.3046487081713
5,3,256,"2","subject 1","1",0.513213836118105,1234.04618679904,2.40548322002117e-16,1.10688656734096
5,3,256,"2","subject 1","2",0.967252946898604,1234.04618679904,2.40548322002117e-16,1.10688656734096
5,3,256,"2","subject 1","3",0.999711747539482,1234.04618679904,2.40548322002117e-16,1.10688656734096
5,3,256,"2","subject 2","1",0.584344243533989,1234.04618679904,2.40548322002117e-16,1.10688656734096
5,3,256,"2","subject 2","2",0.996606775005722,1234.04618679904,2.40548322002117e-16,1.10688656734096
5,3,256,"2","subject 2","3",0.999500743877317,1234.04618679904,2.40548322002117e-16,1.10688656734096
5,3,256,"2","subject 3","1",0.594267137788968,1234.04618679904,2.40548322002117e-16,1.10688656734096
5,3,256,"2","subject 3","2",0.973985036621652,1234.04618679904,2.40548322002117e-16,1.10688656734096
5,3,256,"2","subject 3","3",0.99963950560769,1234.04618679904,2.40548322002117e-16,1.10688656734096
5,3,256,"2","subject 4","1",0.600402695124742,1234.04618679904,2.40548322002117e-16,1.10688656734096
5,3,256,"2","subject 4","2",0.988218127718013,1234.04618679904,2.40548322002117e-16,1.10688656734096
